Study_Hours,Attendance_Percent,Sleep_Hours,Practice_Tests,Score
6.57,77,5.6,2,61.6
7.5,94,4.9,6,80.1
0.8,74,6.8,0,12.5
5.83,94,6.4,7,66.2
6.1,60,7.9,2,70.0
7.13,69,5.5,5,71.5
1.47,82,8.3,4,22.9
8.17,94,5.1,6,86.8
1.25,100,7.3,5,19.6
5.98,62,7.5,4,67.3
9.86,66,6.2,7,100.0
6.54,83,6.1,4,66.7
7.17,64,7.2,2,77.3
5.57,89,6.2,3,56.4
7.0,63,5.5,0,78.4
8.15,64,5.4,5,81.3
2.52,89,5.1,2,33.9
2.84,76,7.9,6,37.7
9.03,74,9.0,2,89.0
5.34,63,8.4,2,51.9
6.46,87,7.2,6,72.9
4.13,93,5.6,0,55.9
6.96,94,7.9,5,66.4
1.56,89,4.5,4,24.5
9.73,92,8.6,4,100.0
8.5,72,5.2,2,86.1
5.62,93,8.6,5,65.4
5.14,83,8.5,4,50.5
2.77,96,8.8,1,32.0
7.45,94,7.9,2,81.9
6.77,70,5.7,6,78.0
9.66,72,7.7,6,100.0
9.95,88,8.5,7,100.0
1.65,81,4.6,3,22.0
6.09,100,4.8,1,57.1
9.1,64,6.8,4,96.9
6.86,68,7.8,7,67.1
2.81,86,5.4,1,36.0
6.76,86,6.6,0,68.5
6.9,66,4.8,5,79.8
8.11,72,5.4,7,76.3
1.83,89,5.6,1,22.9
4.71,95,4.9,0,58.8
9.71,75,5.2,7,100.0
5.07,63,5.2,0,61.9
9.86,89,5.8,7,94.0
1.97,63,7.1,0,25.9
7.61,97,6.6,2,71.1
1.04,71,4.8,1,21.2
6.91,67,8.7,3,67.9
6.0,65,6.4,5,56.8
9.38,80,5.6,6,88.9
1.74,89,5.9,1,29.5
0.59,96,9.0,1,19.1
5.61,68,8.7,1,60.9
8.85,70,6.5,4,86.9
6.31,93,4.5,4,74.7
9.35,68,5.7,1,87.0
7.55,78,7.2,5,72.2
2.43,76,6.8,4,35.3
9.1,65,7.4,4,96.7
0.92,68,7.4,4,17.3
2.04,87,7.0,1,28.8
1.21,69,7.0,5,28.7
6.03,68,4.7,5,58.8
9.04,62,8.5,3,95.4
6.98,82,8.0,6,75.4
9.75,75,8.4,2,100.0
8.87,81,8.0,6,81.6
8.12,75,5.7,1,88.5
4.13,90,5.5,7,40.6
3.82,74,5.5,3,50.4
4.29,64,8.9,4,45.8
3.84,94,6.0,0,45.6
1.6,71,7.1,4,33.4
0.86,82,7.8,5,21.0
4.65,67,6.2,3,60.2
2.92,60,6.8,3,40.7
3.96,81,7.3,1,39.6
7.34,79,7.5,5,72.7
4.32,68,5.4,6,46.3
6.93,99,7.1,6,78.7
5.71,78,5.4,5,53.7
4.92,73,6.8,2,53.9
6.76,100,7.3,1,67.4
8.28,79,5.5,3,88.1
1.9,90,7.3,1,21.3
4.83,96,5.4,6,60.2
5.2,60,8.5,1,53.1
7.89,93,6.6,3,76.1
9.22,68,8.1,5,86.2
9.53,99,8.2,6,100.0
8.39,70,7.8,7,85.8
4.78,100,5.7,7,57.6
6.45,64,7.7,3,64.5
3.08,94,4.9,2,35.9
2.7,73,4.8,6,38.6
3.64,63,5.4,6,43.1
4.2,61,8.4,6,52.9
5.03,79,7.9,6,62.8
5.61,98,8.5,7,64.6
2.58,61,6.2,6,33.4
7.38,68,8.9,0,81.7
9.12,61,4.9,6,92.8
1.79,63,5.7,5,27.0
2.51,84,5.8,6,31.1
2.9,61,7.9,0,30.5
10.0,64,8.0,0,96.6
7.67,72,8.3,2,85.9
2.77,67,7.0,3,35.7
4.92,83,5.3,1,50.9
7.89,79,5.0,0,75.3
9.32,84,6.3,3,94.3
1.22,100,5.6,4,25.7
8.58,67,8.1,0,88.3
3.8,83,4.8,5,43.9
0.62,91,5.0,5,16.1
6.54,69,6.5,4,74.2
6.35,90,6.6,4,74.0
3.56,65,5.8,7,38.9
2.82,99,7.5,5,36.0
0.77,71,6.7,5,24.3
8.08,98,7.7,4,79.7
5.78,72,4.9,6,62.6
5.14,90,7.4,7,60.8
4.76,78,5.5,3,45.7
3.41,90,7.0,5,43.0
4.54,81,6.1,7,55.4
3.07,67,7.7,5,34.7
1.64,71,5.4,7,26.8
3.13,93,7.2,1,40.7
8.41,83,5.3,0,81.9
7.23,62,8.9,4,68.9
7.13,91,5.0,0,68.1
5.95,88,6.0,0,63.3
2.9,67,8.2,6,43.0
5.17,63,5.2,4,58.2
1.31,95,7.9,3,19.4
7.87,88,5.8,6,78.6
3.4,99,8.8,1,43.5
9.5,73,5.7,1,90.0
1.99,64,5.2,6,24.1
4.78,78,4.6,4,55.1
